"bhk","price","flr","area","sale","furnus","owner","f1","f2"
2,15000000.00,"26 - 27",706,1,0,1,"26", 27
2,6490000.00,"3 - 23",612,0,0,1,"3 ","23"
2,11000000.00,"9 - 19",730,1,1,1,"9 ","19"
1,3400000.00,"6 - 18",510,1,0,1,"6 ","18"
3,7250000.00,"4 - 24",961,1,0,1,"4 ","24"
3,36600000.00,"21 - 26",1228,0,1,1,"21", 26
1,3500000.00,"7 - 8",480,1,0,1,"7 ","8"
1,4000000.00,"4 - 8",,1,0,,"4 ","8"
1,3500000.00,"2 - 5",,1,0,,"2 ","5"
2,8600000.00,"19 - 30",551,1,0,1,"19", 30
1,7500000.00,"10 - 30",435,1,0,1,"10", 30
1,5500000.00,"3 - 7",430,1,1,1,"3 ","7"
4,33000000.00,"12 - 19",1359,1,0,1,"12", 19
2,13000000.00,"15 - 30",640,1,0,1,"15", 30
2,4400000.00,"3 - 4",,1,1,,"3 ","4"
1,5800000.00,"10 - 31",495,1,0,1,"10", 31
1,3600000.00,"11 - 18",510,0,1,2,"11", 18
4,29500000.00,"1 - 29",1650,1,2,1,"1 ","29"
1,3000000.00,"4 - 7",,1,1,0,"4 ","7"
1,5600000.00,"3 - 6",540,1,0,1,"3 ","6"
2,11500000.00,"24 - 32",650,1,0,1,"24", 32
3,29900000.00,"21 - 28",1300,1,1,,"21", 28
3,13000000.00,"4 - 7",870,0,2,1,"4 ","7"
2,19000000.00,"16 - 22",830,0,1,1,"16", 22
2,6100000.00,"19 - 24",763,1,0,1,"19", 24
1,5800000.00,"7 - 19",480,1,0,,"7 ","19"
1,4800000.00,"0  - 5",370,1,1,,"0 ", 5
1,4300000.00,"14 - 23",454,0,1,1,"14", 23
2,16500000.00,"5 - 14",750,1,1,1,"5 ","14"
2,15900000.00,"2 - 29",721,0,0,1,"2 ","29"
2,6300000.00,"7 - 19",575,1,1,1,"7 ","19"
2,19300000.00,"4 - 30",790,0,0,1,"4 ","30"
3,29900000.00,"12 - 27",1100,1,1,1,"12", 27
5,25000000.00,"6 - 18",,1,2,,"6 ","18"
2,7000000.00,"1 - 14",700,1,0,1,"1 ","14"
1,1700000.00,"1 - 4",,1,0,,"1 ","4"
2,19900000.00,"19 - 30",790,0,0,1,"19", 30
1,3600000.00,"2 - 7",,1,0,,"2 ","7"
1,9800000.00,"7 - 13",500,1,2,0,"7 ","13"
2,7200000.00,"3 - 7",850,1,1,1,"3 ","7"
3,35900000.00,"23 - 35",1203,0,1,1,"23", 35
1,3250000.00,"6 - 7",438,1,2,0,"6 ","7"
1,3700000.00,"17 - 18",510,1,0,1,"17", 18
4,32000000.00,"16 - 27",1350,1,0,1,"16", 27
2,4000000.00,"2 - 4",546,1,0,1,"2 ","4"
1,6000000.00,"2 - 21",379,0,1,1,"2 ","21"
1,4500000.00,"2 - 2",500,1,0,,"2 ","2"
1,5500000.00,"7 - 31",495,1,0,1,"7 ","31"
3,26000000.00,"10 - 18",1012,1,1,1,"10", 18
2,4900000.00,"20 - 26",526,0,0,1,"20", 26
1,,"2 - 3",,1,0,,"2 ","3"
2,3100000.00,"2 - 7",692,1,0,1,"2 ","7"
3,15600000.00,"14 - 19",879,1,0,0,"14", 19
1,4850000.00,"3 - 7",410,1,0,1,"3 ","7"
1,4700000.00,"7 - 12",400,1,0,1,"7 ","12"
2,8500000.00,"9 - 16",640,1,0,1,"9 ","16"
6,52000000.00,"8 - 18",2024,1,1,1,"8 ","18"
2,18000000.00,"12 - 18",630,1,1,0,"12", 18
2,12500000.00,"6 - 21",,1,1,,"6 ","21"
2,3000000.00,"0  - 4",,1,0,,"0 ", 4
1,2700000.00,"3 - 3",375,1,0,,"3 ","3"
1,6300000.00,"8 - 16",435,1,0,1,"8 ","16"
2,8400000.00,"7 - 7",650,1,1,0,"7 ","7"
1,7500000.00,"1 - 7",450,1,2,1,"1 ","7"
2,3900000.00,"5 - 7",511,1,0,1,"5 ","7"
2,,"18 - 30",585,1,0,1,"18", 30
1,1700000.00,"0  - 3",,1,1,0,"0 ", 3
1,3990000.00,"4 - 7",,1,0,,"4 ","7"
2,15400000.00,"2 - 29",702,0,0,1,"2 ","29"
1,4500000.00,"5 - 14",440,1,1,1,"5 ","14"
2,9500000.00,"18 - 20",663,1,0,1,"18", 20
1,8200000.00,"6 - 40",453,1,0,,"6 ","40"
1,1500000.00,"1 - 4",,1,1,,"1 ","4"
1,3000000.00,"2 - 4",475,1,2,2,"2 ","4"
1,2500000.00,"7 - 7",,1,0,,"7 ","7"
1,4700000.00,"9 - 16",330,1,1,1,"9 ","16"
1,2000000.00,"3 - 4",,1,1,,"3 ","4"
2,,"10 - 29",779,1,0,1,"10", 29
2,8500000.00,"5 - 11",650,1,1,0,"5 ","11"
3,10500000.00,"12 - 24",,1,0,,"12", 24
3,19000000.00,"6 - 16",1011,1,1,1,"6 ","16"
2,4500000.00,"2 - 4",,1,0,,"2 ","4"
2,,"7 - 7",700,1,1,,"7 ","7"
1,7000000.00,"1 - 19",,1,1,,"1 ","19"
1,3250000.00,"8 - 12",500,1,1,,"8 ","12"
2,11000000.00,"20 - 32",650,1,0,1,"20", 32
1,4200000.00,"2 - 5",,1,1,,"2 ","5"
1,7000000.00,"2 - 19",,1,1,,"2 ","19"
1,2400000.00,"4 - 7",420,1,1,,"4 ","7"
2,21100000.00,"18 - 30",790,0,0,1,"18", 30
1,2000000.00,"3 - 5",,1,0,1,"3 ","5"
1,3600000.00,"2 - 7",450,0,0,1,"2 ","7"
3,19500000.00,"10 - 28",1090,1,0,1,"10", 28
1,5000000.00,"5 - 7",400,1,0,0,"5 ","7"
,1300000.00,"2 - 5",,1,0,,"2 ","5"
1,2700000.00,"3 - 3",,1,2,,"3 ","3"
1,6300000.00,"6 - 16",438,1,1,1,"6 ","16"
2,15500000.00,"19 - 23",833,1,0,0,"19", 23
3,10000000.00,"5 - 7",900,1,0,1,"5 ","7"
2,12000000.00,"5 - 17",,1,2,,"5 ","17"
2,,"20 - 42",635,1,0,0,"20", 42
2,12000000.00,"16 - 17",,1,1,,"16", 17
2,12000000.00,"17 - 17",,1,1,,"17", 17
2,13000000.00,"5 - 17",,1,2,,"5 ","17"
3,30000000.00,"14 - 29",1300,1,1,1,"14", 29
2,2800000.00,"1 - 4",,1,0,,"1 ","4"
2,14500000.00,"1 - 2",720,1,0,0,"1 ","2"
1,5000000.00,"5 - 7",,1,0,,"5 ","7"
2,10900000.00,"17 - 32",640,1,0,1,"17", 32
,2100000.00,"",345,1,2,,"",""
2,9000000.00,"15 - 15",,1,0,,"15", 15
1,7000000.00,"1 - 19",,1,1,,"1 ","19"
1,3000000.00,"4 - 4",385,1,0,,"4 ","4"
2,,"7 - 18",725,1,0,1,"7 ","18"
1,2810000.00,"19 - 36",384,0,0,1,"19", 36
1,4800000.00,"4 - 8",,1,0,,"4 ","8"
1,7600000.00,"13 - 27",450,1,1,0,"13", 27
2,11100000.00,"21 - 32",650,1,0,1,"21", 32
1,3500000.00,"8 - 18",510,1,0,1,"8 ","18"
2,22000000.00,"29 - 30",810,0,0,1,"29", 30
2,17600000.00,"2 - 29",800,0,0,1,"2 ","29"
2,8500000.00,"5 - 7",670,1,1,0,"5 ","7"
1,4950000.00,"2 - 24",500,0,0,1,"2 ","24"
2,17700000.00,"2 - 29",804,0,0,1,"2 ","29"
,1500000.00,"3 - 4",,1,0,,"3 ","4"
2,6000000.00,"16 - 22",,1,0,,"16", 22
2,10500000.00,"8 - 27",,1,0,,"8 ","27"
3,23500000.00,"16 - 28",1040,1,1,1,"16", 28
2,10900000.00,"22 - 29",672,1,0,1,"22", 29
1,3500000.00,"1 - 1",500,1,0,1,"1 ","1"
2,11400000.00,"23 - 32",650,1,0,1,"23", 32
1,3300000.00,"10 - 18",450,1,0,1,"10", 18
2,4100000.00,"3 - 4",,1,,,"3 ","4"
1,4100000.00,"0  - 4",,1,,,"0 ", 4
1,,"3 - 3",,1,,,"3 ","3"
1,,"3 - 5",,1,0,,"3 ","5"
1,2390000.00,"1 - 7",,1,1,1,"1 ","7"
1,1950000.00,"4 - 4",,1,0,,"4 ","4"
1,4000000.00,"1 - 4",525,1,0,1,"1 ","4"
1,3500000.00,"3 - 5",,1,0,,"3 ","5"
2,6500000.00,"23 - 24",620,0,0,1,"23", 24
2,4250000.00,"4 - 12",,1,1,,"4 ","12"
1,5100000.00,"5 - 7",434,1,1,1,"5 ","7"
2,15500000.00,"11 - 17",769,1,0,1,"11", 17
3,27900000.00,"11 - 32",1260,0,0,1,"11", 32
2,7100000.00,"21 - 24",630,0,1,1,"21", 24
3,16500000.00,"8 - 20",900,1,1,0,"8 ","20"
1,13000000.00,"16 - 30",455,1,1,1,"16", 30
2,16100000.00,"26 - 30",559,1,2,1,"26", 30
,5600000.00,"25 - 36",263,1,0,1,"25", 36
1,,"5 - 6",,1,2,,"5 ","6"
4,70400000.00,"7 - 26",2200,1,0,1,"7 ","26"
1,1950000.00,"1 - 5",280,1,0,,"1 ","5"
1,3200000.00,"3 - 4",375,1,1,0,"3 ","4"
1,5000000.00,"5 - 6",,1,2,,"5 ","6"
3,10000000.00,"3 - 7",,1,1,,"3 ","7"
2,18500000.00,"9 - 29",758,0,0,1,"9 ","29"
1,5200000.00,"7 - 12",540,1,1,1,"7 ","12"
1,3800000.00,"3 - 4",290,1,1,1,"3 ","4"
2,18000000.00,"11 - 29",758,0,0,1,"11", 29
1,6100000.00,"8 - 15",,1,1,,"8 ","15"
1,6200000.00,"5 - 14",,1,0,,"5 ","14"
1,6200000.00,"12 - 25",,1,0,,"12", 25
2,10800000.00,"16 - 32",640,1,0,1,"16", 32
2,9500000.00,"10 - 18",600,1,0,,"10", 18
2,9800000.00,"1 - 4",710,1,0,1,"1 ","4"
1,2300000.00,"4 - 4",,1,1,0,"4 ","4"
3,9800000.00,"2 - 6",820,1,0,0,"2 ","6"
3,6800000.00,"7 - 18",679,0,2,1,"7 ","18"
1,4200000.00,"5 - 18",441,0,0,0,"5 ","18"
1,5300000.00,"5 - 13",475,1,2,1,"5 ","13"
2,11500000.00,"14 - 30",701,0,0,1,"14", 30
1,5500000.00,"1 - 6",330,1,1,1,"1 ","6"
3,7400000.00,"4 - 18",838,1,0,1,"4 ","18"
1,4000000.00,"7 - 14",,1,0,,"7 ","14"
3,12000000.00,"9 - 10",770,1,1,1,"9 ","10"
1,,"14 - 16",,1,,,"14", 16
2,6500000.00,"7 - 7",680,1,1,1,"7 ","7"
2,22500000.00,"9 - 10",,1,2,,"9 ","10"
4,42500000.00,"14 - 27",1820,1,1,1,"14", 27
2,2500000.00,"1 - 5",,1,0,,"1 ","5"
1,4500000.00,"1 - 7",400,1,1,0,"1 ","7"
3,10000000.00,"1 - 2",,1,1,0,"1 ","2"
2,21500000.00,"14 - 28",722,1,1,0,"14", 28
1,3500000.00,"5 - 8",480,1,0,1,"5 ","8"
3,22500000.00,"3 - 8",,1,0,,"3 ","8"
2,3500000.00,"3 - 5",660,1,0,1,"3 ","5"
2,12000000.00,"7 - 8",,1,1,,"7 ","8"
1,3600000.00,"14 - 16",,1,,,"14", 16
1,5450000.00,"4 - 7",415,1,1,1,"4 ","7"
1,3200000.00,"6 - 18",,1,0,,"6 ","18"
1,,"4 - 5",,1,0,,"4 ","5"
3,8800000.00,"9 - 12",820,1,1,1,"9 ","12"
2,15600000.00,"2 - 7",755,1,1,1,"2 ","7"
1,4200000.00,"0  - 7",,1,0,,"0 ", 7
1,5200000.00,"1 - 7",,1,0,,"1 ","7"
2,9000000.00,"10 - 18",668,1,0,0,"10", 18
2,7000000.00,"1 - 5",700,0,0,1,"1 ","5"
1,5300000.00,"2 - 7",410,1,1,1,"2 ","7"
2,11000000.00,"1 - 7",700,1,1,1,"1 ","7"
1,8700000.00,"1 - 5",527,1,0,0,"1 ","5"
3,6200000.00,"10 - 19",800,1,0,1,"10", 19
1,2800000.00,"3 - 5",,1,2,,"3 ","5"
1,,"3 - 4",400,1,0,1,"3 ","4"
1,4500000.00,"2 - 8",450,1,0,,"2 ","8"
