bhk,price,area,sale,furnus,f1,f2,floor
2.0,18000000.0,758.0,New Property,Unfurnished,11.0,29.0,11 out of 29
2.0,10800000.0,640.0,Resale,Unfurnished,16.0,32.0,16 out of 32
2.0,9500000.0,600.0,Resale,Unfurnished,10.0,18.0,10 out of 18
2.0,9800000.0,710.0,Resale,Unfurnished,1.0,4.0,1 out of 4
3.0,9800000.0,820.0,Resale,Unfurnished,2.0,6.0,2 out of 6
3.0,6800000.0,679.0,New Property,Furnished,7.0,18.0,7 out of 18
1.0,4200000.0,441.0,New Property,Unfurnished,5.0,18.0,5 out of 18
1.0,5300000.0,475.0,Resale,Furnished,5.0,13.0,5 out of 13
2.0,11500000.0,701.0,New Property,Unfurnished,14.0,30.0,14 out of 30
1.0,5500000.0,330.0,Resale,Semi-Furnished,1.0,6.0,1 out of 6
3.0,7400000.0,838.0,Resale,Unfurnished,4.0,18.0,4 out of 18
3.0,12000000.0,770.0,Resale,Semi-Furnished,9.0,10.0,9 out of 10
2.0,6500000.0,680.0,Resale,Semi-Furnished,7.0,7.0,7 out of 7
4.0,42500000.0,1820.0,Resale,Semi-Furnished,14.0,27.0,14 out of 27
1.0,4500000.0,400.0,Resale,Semi-Furnished,1.0,7.0,1 out of 7
2.0,21500000.0,722.0,Resale,Semi-Furnished,14.0,28.0,14 out of 28
1.0,3500000.0,480.0,Resale,Unfurnished,5.0,8.0,5 out of 8
2.0,3500000.0,660.0,Resale,Unfurnished,3.0,5.0,3 out of 5
1.0,5450000.0,415.0,Resale,Semi-Furnished,4.0,7.0,4 out of 7
3.0,8800000.0,820.0,Resale,Semi-Furnished,9.0,12.0,9 out of 12
2.0,15600000.0,755.0,Resale,Semi-Furnished,2.0,7.0,2 out of 7
2.0,9000000.0,668.0,Resale,Unfurnished,10.0,18.0,10 out of 18
2.0,7000000.0,700.0,New Property,Unfurnished,1.0,5.0,1 out of 5
1.0,5300000.0,410.0,Resale,Semi-Furnished,2.0,7.0,2 out of 7
2.0,11000000.0,700.0,Resale,Semi-Furnished,1.0,7.0,1 out of 7
1.0,8700000.0,527.0,Resale,Unfurnished,1.0,5.0,1 out of 5
3.0,6200000.0,800.0,Resale,Unfurnished,10.0,19.0,10 out of 19
1.0,4500000.0,450.0,Resale,Unfurnished,2.0,8.0,2 out of 8
3.0,8900000.0,856.0,Resale,Semi-Furnished,6.0,21.0,6 out of 21
3.0,19000000.0,1120.0,Resale,Furnished,14.0,22.0,14 out of 22
2.0,9600000.0,480.0,Resale,Semi-Furnished,4.0,23.0,4 out of 23
1.0,3300000.0,475.0,Resale,Semi-Furnished,16.0,16.0,16 out of 16
1.0,5800000.0,400.0,Resale,Unfurnished,8.0,16.0,8 out of 16
2.0,5800000.0,749.0,Resale,Semi-Furnished,6.0,7.0,6 out of 7
1.0,11000000.0,480.0,Resale,Furnished,2.0,7.0,2 out of 7
1.0,3500000.0,590.0,Resale,Unfurnished,2.0,4.0,2 out of 4
2.0,11300000.0,636.0,Resale,Unfurnished,20.0,26.0,20 out of 26
1.0,2500000.0,400.0,Resale,Unfurnished,3.0,4.0,3 out of 4
1.0,4000000.0,600.0,Resale,Unfurnished,2.0,3.0,2 out of 3
1.0,5000000.0,450.0,Resale,Unfurnished,17.0,18.0,17 out of 18
2.0,9600000.0,771.0,Resale,Semi-Furnished,10.0,31.0,10 out of 31
3.0,15500000.0,1000.0,Resale,Semi-Furnished,10.0,30.0,10 out of 30
1.0,7600000.0,464.0,Resale,Furnished,5.0,6.0,5 out of 6
2.0,11100000.0,636.0,Resale,Unfurnished,14.0,26.0,14 out of 26
1.0,6800000.0,475.0,Resale,Semi-Furnished,5.0,8.0,5 out of 8
1.0,6200000.0,440.0,New Property,Unfurnished,8.0,23.0,8 out of 23
2.0,7300000.0,700.0,Resale,Semi-Furnished,4.0,17.0,4 out of 17
1.0,7500000.0,420.0,Resale,Semi-Furnished,5.0,7.0,5 out of 7
2.0,5400000.0,656.0,Resale,Unfurnished,6.0,7.0,6 out of 7
2.0,2000000.0,750.0,New Property,Furnished,4.0,4.0,4 out of 4
2.0,10000000.0,666.0,Resale,Unfurnished,4.0,12.0,4 out of 12
1.0,9000000.0,468.0,Resale,Unfurnished,0.0,1.0,0 out of 1
1.0,4200000.0,401.0,New Property,Unfurnished,5.0,21.0,5 out of 21
2.0,12200000.0,650.0,Resale,Unfurnished,12.0,24.0,12 out of 24
1.0,7550000.0,450.0,Resale,Semi-Furnished,4.0,20.0,4 out of 20
1.0,2800000.0,460.0,Resale,Semi-Furnished,1.0,5.0,1 out of 5
2.0,7800000.0,600.0,Resale,Unfurnished,5.0,7.0,5 out of 7
1.0,2600000.0,380.0,Resale,Semi-Furnished,4.0,4.0,4 out of 4
3.0,8000000.0,915.0,New Property,Furnished,6.0,7.0,6 out of 7
2.0,3300000.0,635.0,Resale,Semi-Furnished,1.0,6.0,1 out of 6
1.0,6800000.0,445.0,Resale,Semi-Furnished,6.0,15.0,6 out of 15
2.0,9500000.0,756.0,New Property,Furnished,20.0,29.0,20 out of 29
3.0,23500000.0,910.0,Resale,Semi-Furnished,10.0,18.0,10 out of 18
2.0,15000000.0,559.0,Resale,Semi-Furnished,10.0,18.0,10 out of 18
3.0,24000000.0,1500.0,Resale,Furnished,6.0,30.0,6 out of 30
1.0,3950000.0,450.0,Resale,Unfurnished,4.0,16.0,4 out of 16
1.0,3500000.0,550.0,Resale,Unfurnished,2.0,6.0,2 out of 6
1.0,4200000.0,455.0,Resale,Unfurnished,3.0,7.0,3 out of 7
2.0,15300000.0,635.0,New Property,Unfurnished,21.0,45.0,21 out of 45
1.0,2380000.0,450.0,New Property,Unfurnished,4.0,7.0,4 out of 7
1.0,7600000.0,464.0,Resale,Furnished,5.0,6.0,5 out of 6
2.0,15500000.0,570.0,Resale,Unfurnished,6.0,12.0,6 out of 12
2.0,17000000.0,767.0,New Property,Unfurnished,9.0,29.0,9 out of 29
2.0,10900000.0,650.0,Resale,Unfurnished,19.0,26.0,19 out of 26
2.0,12100000.0,780.0,Resale,Furnished,2.0,10.0,2 out of 10
2.0,11000000.0,636.0,Resale,Unfurnished,13.0,26.0,13 out of 26
3.0,21000000.0,930.0,Resale,Semi-Furnished,7.0,12.0,7 out of 12
1.0,5200000.0,430.0,Resale,Semi-Furnished,1.0,7.0,1 out of 7
2.0,11000000.0,600.0,Resale,Unfurnished,6.0,27.0,6 out of 27
2.0,6200000.0,640.0,Resale,Unfurnished,2.0,8.0,2 out of 8
1.0,2050000.0,388.0,New Property,Unfurnished,12.0,12.0,12 out of 12
1.0,3900000.0,435.0,Resale,Unfurnished,6.0,7.0,6 out of 7
1.0,4000000.0,300.0,Resale,Unfurnished,1.0,2.0,1 out of 2
1.0,6000000.0,410.0,Resale,Unfurnished,8.0,16.0,8 out of 16
3.0,21000000.0,1290.0,Resale,Semi-Furnished,15.0,27.0,15 out of 27
2.0,11200000.0,636.0,Resale,Unfurnished,16.0,26.0,16 out of 26
3.0,17000000.0,940.0,Resale,Unfurnished,15.0,32.0,15 out of 32
1.0,4200000.0,475.0,Resale,Unfurnished,13.0,20.0,13 out of 20
1.0,2500000.0,468.0,Resale,Unfurnished,4.0,8.0,4 out of 8
3.0,24500000.0,1250.0,Resale,Semi-Furnished,15.0,27.0,15 out of 27
1.0,4900000.0,450.0,Resale,Semi-Furnished,9.0,22.0,9 out of 22
2.0,18100000.0,818.0,New Property,Unfurnished,11.0,18.0,11 out of 18
