"bhk","price","flr","area","sale","furnus","owner"
2,9500000.00,"10-18",600,1,0,
2,9800000.00,"1-4",710,1,0,1
1,2300000.00,"4-4",,1,1,0
3,9800000.00,"2-6",820,1,0,0
3,6800000.00,"7-18",679,0,2,1
1,4200000.00,"5-18",441,0,0,0
1,5300000.00,"5-13",475,1,2,1
2,11500000.00,"14-30",701,0,0,1
1,5500000.00,"1-6",330,1,1,1
3,7400000.00,"4-18",838,1,0,1
1,4000000.00,"7-14",,1,0,
3,12000000.00,"9-10",770,1,1,1
1,,"14-16",,1,,
2,6500000.00,"7-7",680,1,1,1
2,22500000.00,"9-10",,1,2,
4,42500000.00,"14-27",1820,1,1,1
2,2500000.00,"1-5",,1,0,
1,4500000.00,"1-7",400,1,1,0
3,10000000.00,"1-2",,1,1,0
2,21500000.00,"14-28",722,1,1,0
1,3500000.00,"5-8",480,1,0,1
3,22500000.00,"3-8",,1,0,
2,3500000.00,"3-5",660,1,0,1
2,12000000.00,"7-8",,1,1,
1,3600000.00,"14-16",,1,,
1,5450000.00,"4-7",415,1,1,1
1,3200000.00,"6-18",,1,0,
1,,"4-5",,1,0,
3,8800000.00,"9-12",820,1,1,1
2,15600000.00,"2-7",755,1,1,1
1,4200000.00,"0  out of 7",,1,0,
1,5200000.00,"1-7",,1,0,
2,9000000.00,"10-18",668,1,0,0
2,7000000.00,"1-5",700,0,0,1
1,5300000.00,"2-7",410,1,1,1
2,11000000.00,"1-7",700,1,1,1
1,8700000.00,"1-5",527,1,0,0
3,6200000.00,"10-19",800,1,0,1
1,2800000.00,"3-5",,1,2,
1,,"3-4",400,1,0,1
1,4500000.00,"2-8",450,1,0,
3,8900000.00,"6-21",856,1,1,1
3,19000000.00,"14-22",1120,1,2,0
2,9600000.00,"4-23",480,1,1,1
1,8300000.00,"6-7",,1,2,
1,3300000.00,"16-16",475,1,1,0
1,5800000.00,"8-16",400,1,0,0
2,5800000.00,"6-7",749,1,1,0
1,8500000.00,"10-11",,1,1,
1,11000000.00,"2-7",480,1,2,0
1,3500000.00,"2-4",590,1,0,1
2,11300000.00,"20-26",636,1,0,1
1,6000000.00,"7-8",,1,1,
1,2500000.00,"3-4",400,1,0,1
1,4000000.00,"2-3",600,1,0,
1,5000000.00,"17-18",450,1,0,
2,3500000.00,"1-4",,1,1,
2,9600000.00,"10-31",771,1,1,1
1,2700000.00,"2-4",,1,0,
3,15500000.00,"10-30",1000,1,1,0
1,7600000.00,"5-6",464,1,2,
2,11100000.00,"14-26",636,1,0,1
1,6800000.00,"5-8",475,1,1,1
2,7500000.00,"9-17",,1,0,
1,6200000.00,"8-23",440,0,0,
2,7300000.00,"4-17",700,1,1,3
1,7500000.00,"5-7",420,1,1,0
2,5400000.00,"6-7",656,1,0,
2,2000000.00,"4-4",750,0,2,
2,10000000.00,"4-12",666,1,0,1
1,4500000.00,"5-7",,1,1,
1,4800000.00,"1-7",,1,1,
1,4800000.00,"1-7",,1,1,
