bhk,price,area,sale,furnus,f1,f2
1.0,2900000.0,,1.0,0.0,7.0,7.0
3.0,16500000.0,,1.0,2.0,16.0,19.0
1.0,5100000.0,,1.0,0.0,2.0,3.0
2.0,9500000.0,,1.0,2.0,6.0,12.0
2.0,15500000.0,570.0,1.0,0.0,6.0,12.0
2.0,13900000.0,,1.0,0.0,2.0,7.0
2.0,17000000.0,767.0,0.0,0.0,9.0,29.0
2.0,10000000.0,,0.0,1.0,8.0,27.0
2.0,10000000.0,,0.0,1.0,8.0,27.0
2.0,10900000.0,650.0,1.0,0.0,19.0,26.0
1.0,3000000.0,,1.0,1.0,2.0,3.0
2.0,8600000.0,,1.0,0.0,6.0,8.0
1.0,5300000.0,,1.0,0.0,22.0,25.0
1.0,3800000.0,,1.0,0.0,4.0,7.0
1.0,3800000.0,,1.0,0.0,4.0,7.0
1.0,3900000.0,,1.0,0.0,4.0,7.0
2.0,12100000.0,780.0,1.0,2.0,2.0,10.0
2.0,11000000.0,636.0,1.0,0.0,13.0,26.0
3.0,21000000.0,930.0,1.0,1.0,7.0,12.0
1.0,5200000.0,430.0,1.0,1.0,1.0,7.0
1.0,1800000.0,,1.0,0.0,3.0,5.0
2.0,11000000.0,600.0,1.0,0.0,6.0,27.0
2.0,6200000.0,640.0,1.0,0.0,2.0,8.0
1.0,3800000.0,,1.0,0.0,4.0,5.0
1.0,2050000.0,388.0,0.0,0.0,12.0,12.0
1.0,3900000.0,435.0,1.0,0.0,6.0,7.0
1.0,4000000.0,300.0,1.0,0.0,1.0,2.0
1.0,6000000.0,410.0,1.0,0.0,8.0,16.0
3.0,21000000.0,1290.0,1.0,1.0,15.0,27.0
2.0,9500000.0,,1.0,0.0,4.0,12.0
2.0,11200000.0,636.0,1.0,0.0,16.0,26.0
3.0,17000000.0,940.0,1.0,0.0,15.0,32.0
1.0,4200000.0,475.0,1.0,0.0,13.0,20.0
1.0,2500000.0,468.0,1.0,0.0,4.0,8.0
1.0,4500000.0,,1.0,1.0,2.0,7.0
3.0,24500000.0,1250.0,1.0,1.0,15.0,27.0
1.0,4900000.0,450.0,1.0,1.0,9.0,22.0
2.0,18100000.0,818.0,0.0,0.0,11.0,18.0
2.0,6000000.0,670.0,1.0,0.0,5.0,8.0
1.0,4500000.0,580.0,0.0,1.0,9.0,18.0
1.0,,,1.0,0.0,2.0,7.0
2.0,4500000.0,,1.0,1.0,7.0,7.0
2.0,4500000.0,584.0,1.0,2.0,10.0,19.0
2.0,3000000.0,640.0,1.0,1.0,3.0,11.0
3.0,25000000.0,1260.0,1.0,0.0,10.0,31.0
1.0,2900000.0,650.0,1.0,0.0,6.0,10.0
2.0,6800000.0,700.0,1.0,0.0,3.0,6.0
1.0,7200000.0,430.0,1.0,1.0,4.0,15.0
1.0,1250000.0,,1.0,1.0,1.0,3.0
2.0,10000000.0,,0.0,1.0,8.0,27.0
2.0,10000000.0,,0.0,1.0,8.0,27.0
3.0,17500000.0,844.0,1.0,0.0,3.0,12.0
1.0,5000000.0,450.0,1.0,1.0,4.0,7.0
3.0,18000000.0,,0.0,1.0,18.0,23.0
1.0,7500000.0,453.0,1.0,1.0,3.0,13.0
1.0,2400000.0,,1.0,0.0,2.0,7.0
1.0,2200000.0,,1.0,0.0,10.0,13.0
1.0,8200000.0,450.0,1.0,2.0,2.0,7.0
1.0,2500000.0,430.0,1.0,1.0,4.0,7.0
2.0,15500000.0,676.0,1.0,0.0,2.0,12.0
3.0,21000000.0,1115.0,1.0,1.0,18.0,28.0
3.0,16000000.0,950.0,1.0,0.0,15.0,30.0
1.0,4300000.0,,1.0,1.0,0.0,1.0
1.0,4500000.0,,1.0,0.0,0.0,7.0
1.0,,,1.0,0.0,2.0,4.0
2.0,10500000.0,530.0,1.0,0.0,20.0,26.0
1.0,7000000.0,,1.0,1.0,3.0,7.0
2.0,11500000.0,700.0,1.0,1.0,8.0,19.0
1.0,6000000.0,,1.0,0.0,2.0,15.0
2.0,,691.0,0.0,0.0,1.0,26.0
1.0,4000000.0,,1.0,0.0,0.0,6.0
1.0,3800000.0,,1.0,1.0,4.0,7.0
1.0,,,1.0,0.0,2.0,5.0
3.0,23000000.0,902.0,1.0,0.0,14.0,28.0
3.0,23500000.0,1090.0,1.0,1.0,17.0,30.0
3.0,12500000.0,,1.0,2.0,5.0,7.0
2.0,6500000.0,640.0,0.0,0.0,2.0,12.0
2.0,7900000.0,,1.0,2.0,4.0,8.0
1.0,7100000.0,450.0,1.0,0.0,2.0,7.0
